province,age_group,sex,population,age_category
Barcelona,88 years,males,5678.0,retired
Barcelona,88 years,females,12316.0,retired
Barcelona,88 years,total,17994.0,retired
Barcelona,89 years,males,4622.0,retired
Barcelona,89 years,females,10446.0,retired
Barcelona,89 years,total,15068.0,retired
Barcelona,90 years,males,3808.0,retired
Barcelona,90 years,females,9043.0,retired
Barcelona,90 years,total,12851.0,retired
Barcelona,91 years,males,2996.0,retired
Barcelona,91 years,females,7449.0,retired
Barcelona,91 years,total,10445.0,retired
Barcelona,92 years,males,2248.0,retired
Barcelona,92 years,females,6391.0,retired
Barcelona,92 years,total,8639.0,retired
Barcelona,93 years,males,1683.0,retired
Barcelona,93 years,females,4774.0,retired
Barcelona,93 years,total,6457.0,retired
Barcelona,94 years,males,1130.0,retired
Barcelona,94 years,females,3731.0,retired
Barcelona,94 years,total,4861.0,retired
Barcelona,95 years,males,659.0,retired
Barcelona,95 years,females,2602.0,retired
Barcelona,95 years,total,3261.0,retired
Barcelona,96 years,males,509.0,retired
Barcelona,96 years,females,1911.0,retired
Barcelona,96 years,total,2420.0,retired
Barcelona,97 years,males,352.0,retired
Barcelona,97 years,females,1409.0,retired
Barcelona,97 years,total,1761.0,retired
Barcelona,98 years,males,234.0,retired
Barcelona,98 years,females,975.0,retired
Barcelona,98 years,total,1209.0,retired
Barcelona,99 years,males,166.0,retired
Barcelona,99 years,females,624.0,retired
Barcelona,99 years,total,790.0,retired
Barcelona,100 years and over,males,265.0,retired
Barcelona,100 years and over,females,1307.0,retired
Barcelona,100 years and over,total,1572.0,retired
Barcelona,total,males,2696360.0,middle
Barcelona,total,females,2827562.0,middle
Barcelona,total,total,5523922.0,middle
Girona,0 years,males,3736.0,underage
Girona,0 years,females,3482.0,underage
Girona,0 years,total,7218.0,underage
Girona,1 year,males,3877.0,underage
Girona,1 year,females,3716.0,underage
Girona,1 year,total,7593.0,underage
Girona,2 years,males,4172.0,underage
Girona,2 years,females,3921.0,underage
Girona,2 years,total,8093.0,underage
Girona,3 years,males,4362.0,underage
Girona,3 years,females,4152.0,underage
Girona,3 years,total,8514.0,underage
Girona,4 years,males,4587.0,underage
Girona,4 years,females,4385.0,underage
Girona,4 years,total,8972.0,underage
Girona,5 years,males,4743.0,underage
Girona,5 years,females,4267.0,underage
Girona,5 years,total,9010.0,underage
Girona,6 years,males,4741.0,underage
Girona,6 years,females,4630.0,underage
Girona,6 years,total,9371.0,underage
Girona,7 years,males,4606.0,underage
Girona,7 years,females,4152.0,underage
Girona,7 years,total,8758.0,underage
Girona,8 years,males,4531.0,underage
Girona,8 years,females,4306.0,underage
Girona,8 years,total,8837.0,underage
Girona,9 years,males,4324.0,underage
